[12:32:51.228][INFO][CraftTweaker-Commands]: - <entitytype:alexsmobs:froststalker>
[12:32:51.228][INFO][CraftTweaker-Commands]: - <entitytype:alexsmobs:ice_shard>
[12:32:51.228][INFO][CraftTweaker-Commands]: - <entitytype:alexsmobs:tusklin>
[12:32:51.228][INFO][CraftTweaker-Commands]: - <entitytype:alexsmobs:laviathan>
[12:32:51.228][INFO][CraftTweaker-Commands]: - <entitytype:alexsmobs:cosmaw>
[12:32:51.228][INFO][CraftTweaker-Commands]: - <entitytype:alexsmobs:toucan>
[12:32:51.228][INFO][CraftTweaker-Commands]: - <entitytype:alexsmobs:maned_wolf>
[12:32:51.228][INFO][CraftTweaker-Commands]: - <entitytype:alexsmobs:anaconda>
[12:32:51.228][INFO][CraftTweaker-Commands]: - <entitytype:alexsmobs:anaconda_part>
[12:32:51.228][INFO][CraftTweaker-Commands]: - <entitytype:alexsmobs:vine_lasso>
[12:32:51.228][INFO][CraftTweaker-Commands]: - <entitytype:alexsmobs:anteater>
[12:32:51.228][INFO][CraftTweaker-Commands]: - <entitytype:alexsmobs:rocky_roller>
[12:32:51.228][INFO][CraftTweaker-Commands]: - <entitytype:alexsmobs:flutter>
[12:32:51.228][INFO][CraftTweaker-Commands]: - <entitytype:alexsmobs:pollen_ball>
[12:32:51.228][INFO][CraftTweaker-Commands]: - <entitytype:alexsmobs:gelada_monkey>
[12:32:51.228][INFO][CraftTweaker-Commands]: - <entitytype:alexsmobs:jerboa>
[12:32:51.228][INFO][CraftTweaker-Commands]: - <entitytype:alexsmobs:terrapin>
[12:32:51.228][INFO][CraftTweaker-Commands]: - <entitytype:alexsmobs:comb_jelly>
[12:32:51.228][INFO][CraftTweaker-Commands]: - <entitytype:alexsmobs:cosmic_cod>
[12:32:51.228][INFO][CraftTweaker-Commands]: - <entitytype:alexsmobs:bunfungus>
[12:32:51.228][INFO][CraftTweaker-Commands]: - <entitytype:alexsmobs:bison>
[12:32:51.228][INFO][CraftTweaker-Commands]: - <entitytype:alexsmobs:giant_squid>
[12:32:51.228][INFO][CraftTweaker-Commands]: - <entitytype:alexsmobs:squid_grapple>
[12:32:51.228][INFO][CraftTweaker-Commands]: - <entitytype:alexsmobs:sea_bear>
[12:32:51.228][INFO][CraftTweaker-Commands]: - <entitytype:alexsmobs:devils_hole_pupfish>
[12:32:51.228][INFO][CraftTweaker-Commands]: - <entitytype:alexsmobs:catfish>
[12:32:51.228][INFO][CraftTweaker-Commands]: - <entitytype:alexsmobs:flying_fish>
[12:32:51.228][INFO][CraftTweaker-Commands]: - <entitytype:alexsmobs:skelewag>
